"DEATHS","MONTH","COUNTRIESANDTERRITORIES"
0,"2020-09","Sao_Tome_and_Principe"
0,"2020-01","South_Korea"
6,"2020-04","Togo"
1,"2020-02","Philippines"
139,"2020-12","Saudi_Arabia"
869,"2020-09","Saudi_Arabia"
0,"2020-04","South_Sudan"
53,"2020-09","Trinidad_and_Tobago"
13,"2020-08","Trinidad_and_Tobago"
0,"2020-07","Trinidad_and_Tobago"
0,"2020-06","Trinidad_and_Tobago"
265,"2020-07","Poland"
149,"2020-04","Saudi_Arabia"
651,"2020-08","Spain"
1902,"2020-11","Tunisia"
34,"2020-06","Venezuela"
0,"2020-03","Vietnam"
5,"2020-11","Yemen"
8,"2020-11","Zambia"
0,"2020-03","Zambia"
2050,"2020-03","United_Kingdom"
0,"2020-10","United_Republic_of_Tanzania"
22929,"2020-09","United_States_of_America"
1,"2020-10","United_States_Virgin_Islands"
4,"2020-04","United_States_Virgin_Islands"
0,"2020-03","United_States_Virgin_Islands"
0,"2020-01","Afghanistan"
126,"2020-08","Albania"
2,"2020-12","Andorra"
454,"2020-11","Algeria"
0,"2020-08","Anguilla"
0,"2020-03","Antigua_and_Barbuda"
8118,"2020-09","Argentina"
8,"2020-03","Andorra"
0,"2020-02","Armenia"
16,"2020-09","Aruba"
0,"2020-06","Aruba"
0,"2020-11","Australia"
25,"2020-10","Australia"
35,"2020-06","Austria"
422,"2020-08","Australia"
283,"2020-10","Austria"
15,"2020-08","Austria"
0,"2020-05","Bahamas"
0,"2020-02","Bahrain"
0,"2020-02","Belarus"
0,"2020-01","Belarus"
1173,"2020-06","Bangladesh"
158,"2020-04","Bangladesh"
0,"2020-12","Bermuda"
0,"2020-06","Bermuda"
1170,"2020-03","Belgium"
53,"2020-04","Bolivia"
0,"2020-12","Bonaire, Saint Eustatius and Saba"
1,"2020-09","Bonaire, Saint Eustatius and Saba"
0,"2020-12","Bhutan"
0,"2020-07","Bhutan"
0,"2020-04","Bhutan"
0,"2020-03","Bhutan"
784,"2020-10","Bolivia"
31,"2020-06","Bosnia_and_Herzegovina"
1,"2020-07","Botswana"
7604,"2020-12","Brazil"
22093,"2020-09","Brazil"
0,"2020-02","Brazil"
0,"2020-12","British_Virgin_Islands"
0,"2020-08","British_Virgin_Islands"
0,"2020-05","Cambodia"
11,"2020-11","Cameroon"
8,"2020-10","Cameroon"
76,"2020-05","Bulgaria"
8,"2020-03","Bulgaria"
3,"2020-09","Burkina_Faso"
0,"2020-07","Burkina_Faso"
0,"2020-06","Burkina_Faso"
10,"2020-05","Burkina_Faso"
122,"2020-06","Cameroon"
1922,"2020-11","Canada"
2907,"2020-04","Canada"
3,"2020-11","Chad"
8,"2020-06","Cape_Verde"
0,"2020-04","Cape_Verde"
1,"2020-03","Cape_Verde"
0,"2020-10","Cayman_Islands"
0,"2020-07","Cayman_Islands"
0,"2020-04","Cayman_Islands"
0,"2020-10","Central_African_Republic"
1,"2020-05","China"
1328,"2020-04","China"
5449,"2020-11","Colombia"
5307,"2020-10","Colombia"
4578,"2020-06","Chile"
33,"2020-06","Cote_dIvoire"
16,"2020-07","Congo"
0,"2020-03","Congo"
398,"2020-09","Ethiopia"
0,"2020-07","Greenland"
2253,"2020-07","Indonesia"
1232,"2020-06","Indonesia"
789,"2020-05","Indonesia"
0,"2020-03","Grenada"
33,"2020-11","Guam"
0,"2020-02","Denmark"
0,"2020-10","Faroe_Islands"
